School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Seneca,26.92,21.52,48.44,2,1,1
Blair Oaks,29.56,16.59,46.15,1,3,2
St. Pius X (Kansas City),24.08,15.02,39.1,4,4,3
Maryville,16.34,17.78,34.13,8,2,4
Central (Park Hills),24.52,7.99,32.52,3,8,5
Mt. Vernon,15.61,10.72,26.33,9,5,6
Ava,18.92,3.1,22.03,7,16,7
St. Francis Borgia,11.43,8.11,19.54,10,7,8
Odessa,11.08,7.23,18.31,11,11,9
Oak Grove,19.74,-2.08,17.67,5,25,10
Southern Boone,19.19,-1.78,17.41,6,23,11
St. Clair,9.05,2.7,11.76,14,18,12
Reeds Spring,9.25,2.32,11.57,13,19,13
Cassville,3.45,7.63,11.08,18,9,14
Aurora,-2.04,10.53,8.49,28,6,15
Ste. Genevieve,2.96,5.41,8.37,19,13,16
Westminster Christian Academy,4.02,3.89,7.9,16,15,17
Moberly,-0.17,7.48,7.32,25,10,18
California,1.03,5.74,6.78,22,12,19
Centralia,3.52,1.22,4.74,17,20,20
Cameron,0.43,4.02,4.44,23,14,21
Dexter,-0.64,2.89,2.25,26,17,22
Boonville,7.51,-7.51,0.01,15,36,23
Eldon,10.22,-13.17,-2.95,12,41,24
Orchard Farm,-4.32,0.99,-3.33,30,21,25
Mountain Grove,-4.21,-0.03,-4.23,29,22,26
Wright City,0.22,-5.43,-5.21,24,30,27
Hallsville,1.43,-6.94,-5.51,20,34,28
Chillicothe,-1.61,-5.36,-6.97,27,29,29
Richmond,-4.53,-3.6,-8.13,31,28,30
Owensville,-5.21,-5.66,-10.87,32,31,31
East Newton,-9.2,-1.93,-11.13,34,24,32
John Burroughs,-8.6,-3.0,-11.61,33,27,33
Pembroke Hill,-10.87,-2.51,-13.38,37,26,34
St. James,1.07,-15.0,-13.93,21,44,35
Clinton,-10.43,-7.54,-17.97,35,37,36
St. Charles West,-11.85,-7.39,-19.24,40,35,37
Summit Christian Academy,-10.76,-9.05,-19.81,36,38,38
Knob Noster,-16.36,-6.19,-22.55,42,32,39
Hollister,-11.32,-12.71,-24.03,39,40,40
Kennett,-11.11,-15.04,-26.15,38,45,41
Fredericktown,-16.65,-13.65,-30.3,43,42,42
Buffalo,-21.26,-9.4,-30.65,47,39,43
Herculaneum,-24.62,-6.27,-30.89,49,33,44
Winfield,-20.33,-14.78,-35.1,46,43,45
Duchesne,-18.95,-19.89,-38.85,44,46,46
Macon,-20.25,-20.58,-40.84,45,47,47
Lutheran South,-13.86,-27.5,-41.36,41,51,48
Salem,-29.27,-20.72,-49.99,52,48,49
Clever,-29.01,-21.01,-50.02,51,49,50
Northeast (Kansas City),-22.56,-33.34,-55.89,48,53,51
Cuba,-33.18,-25.99,-59.17,53,50,52
Bayless,-24.92,-39.8,-64.72,50,54,53
Doniphan,-39.27,-28.99,-68.26,54,52,54
