School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Cardinal Ritter,35.01,19.03,54.03,1,5,1
Helias Catholic,18.27,29.26,47.53,8,1,2
Webb City,22.04,25.06,47.09,5,2,3
Lebanon,25.84,19.19,45.03,2,4,4
Republic,20.68,21.27,41.95,6,3,5
Grain Valley,24.98,14.04,39.03,3,12,6
Rockwood Summit,22.12,12.09,34.21,4,17,7
Fort Osage,20.26,12.72,32.98,7,15,8
Platte County,14.42,18.0,32.42,11,7,9
Eureka,11.9,18.9,30.8,14,6,10
Camdenton,17.26,12.15,29.41,9,16,11
Carthage,15.28,13.88,29.17,10,13,12
Branson,10.11,14.85,24.96,15,11,13
Willard,8.9,15.26,24.16,18,9,14
Central (Cape Girardeau),13.96,8.39,22.35,13,22,15
Capital City,14.42,7.17,21.59,12,25,16
Ft. Zumwalt North,3.39,16.57,19.96,28,8,17
MICDS,7.94,9.24,17.18,20,20,18
St. Dominic,8.61,8.23,16.84,19,23,19
St. Mary's South Side,0.26,15.1,15.36,34,10,20
Ladue Horton Watkins,3.53,11.66,15.19,27,18,21
Hazelwood East,1.87,12.97,14.84,30,14,22
Raytown South,6.27,8.51,14.77,22,21,23
Poplar Bluff,5.17,7.37,12.54,25,24,24
Neosho,9.36,2.47,11.82,16,34,25
Liberty (Wentzville),9.22,2.07,11.29,17,35,26
North Point,-0.18,10.88,10.7,36,19,27
Ft. Zumwalt South,5.17,5.23,10.4,24,29,28
Washington,6.5,3.66,10.16,21,32,29
Glendale,5.27,1.96,7.23,23,36,30
Rolla,-0.22,6.12,5.9,37,26,31
Farmington,-0.09,4.77,4.67,35,30,32
Parkway West,-2.46,5.91,3.45,39,27,33
Belton,4.12,-0.86,3.27,26,40,34
Fox,2.65,-2.43,0.22,29,42,35
Parkway Central,0.58,-0.42,0.16,32,39,36
Raytown,-5.68,5.58,-0.1,42,28,37
Chaminade College Prep,0.35,-1.69,-1.34,33,41,38
North Kansas City,-5.73,3.55,-2.18,43,33,39
Timberland,1.2,-3.45,-2.25,31,44,40
Webster Groves,-0.92,-2.89,-3.81,38,43,41
Winnetonka,-10.19,4.01,-6.18,49,31,42
William Chrisman,-2.6,-4.29,-6.89,40,45,43
Francis Howell North,-8.78,1.63,-7.15,48,37,44
Ruskin,-7.92,-0.09,-8.02,46,38,45
Smith-Cotton,-3.67,-6.33,-10.0,41,50,46
Ft. Zumwalt East,-6.5,-5.23,-11.73,45,46,47
McCluer,-10.54,-5.32,-15.86,50,47,48
Parkview,-6.44,-10.6,-17.04,44,52,49
Riverview Gardens,-12.29,-6.06,-18.34,51,49,50
Parkway South,-13.55,-5.94,-19.49,52,48,51
Central (Springfield),-8.75,-10.75,-19.5,47,53,52
Mehlville,-19.7,-9.44,-29.13,54,51,53
McCluer North,-16.37,-16.07,-32.44,53,54,54
