School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Liberty North,35.23,34.57,69.8,1,1,1
Rockhurst,26.6,34.31,60.91,7,2,2
Lee's Summit North,28.69,29.41,58.1,3,3,3
De Smet Jesuit,26.73,28.07,54.8,5,4,4
Jackson,31.44,19.0,50.43,2,16,5
Nixa,26.92,23.48,50.4,4,8,6
Lee's Summit West,24.07,25.97,50.05,9,5,7
Christian Brothers College,26.7,21.71,48.41,6,10,8
Liberty,17.75,25.41,43.16,15,6,9
Rock Bridge,21.28,20.3,41.59,12,12,10
Francis Howell,25.89,15.26,41.14,8,24,11
Park Hill South,16.52,23.68,40.2,18,7,12
Oak Park,23.3,16.0,39.3,11,22,13
Joplin,23.76,15.14,38.9,10,25,14
Blue Springs,17.49,18.36,35.85,17,19,15
SLUH,19.79,15.84,35.62,13,23,16
Lee's Summit,15.25,18.73,33.98,21,17,17
Kickapoo,15.76,18.21,33.97,19,20,18
Park Hill,17.72,16.1,33.81,16,21,19
Staley,10.92,22.65,33.56,26,9,20
Blue Springs South,18.62,14.17,32.78,14,26,21
Raymore-Peculiar,11.34,21.3,32.64,25,11,22
Troy Buchanan,13.07,19.23,32.3,23,15,23
Kirkwood,13.52,18.5,32.02,22,18,24
Seckman,11.74,19.35,31.09,24,14,25
Marquette,10.79,20.23,31.02,27,13,26
Lafayette (Wildwood),15.36,11.72,27.08,20,29,27
Hazelwood Central,5.96,14.02,19.98,32,27,28
Lindbergh,7.01,11.43,18.44,31,30,29
Ritenour,9.28,8.18,17.46,29,32,30
Ft. Zumwalt West,1.79,13.44,15.24,35,28,31
Central (St. Joseph),9.8,3.17,12.97,28,34,32
Pattonville,1.34,11.43,12.76,37,31,33
Ozark,1.57,7.8,9.37,36,33,34
Oakville,5.92,3.11,9.02,33,35,35
Francis Howell Central,8.15,-4.04,4.11,30,39,36
Waynesville,0.17,2.02,2.19,38,36,37
Hickman,5.68,-8.76,-3.08,34,40,38
Vianney,-3.92,0.37,-3.55,40,37,39
Truman,-10.54,-0.5,-11.05,41,38,40
Hazelwood West,-2.34,-15.51,-17.85,39,42,41
Northwest (Cedar Hill),-10.8,-10.41,-21.21,42,41,42
